Name,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Belgium,2722.946,2732.271,2948.269,3588.176,3690.728,3890.428,3853.551,3916.538,3654.391,3400.961,3282,3116,236.316,220.232,178.064,210.149,249.239,293.077,147.014,140.545,149.459,171,189,235,1937.553,6815,6502.76,6981.915,6466.823,6631.107,6575.051,6470.324,6959.785,7153.33,6934.126,8670.874,8334.072,8045.084,8505.799,10190.264,10090.869,9635.302,9772.74,9155.157,7974.433
Belize,0.8,0.8,0.805,0.805,0.805,0.805,0.805,0.805,0.805,0.805,,,18.494,57.769,215.473,429.995,710.724,1426.157,2551.952,3153.286,3052.426,2589,2002,1883,1782.466,1948,1730.678,1693.832,1490.409,1389.316,1451.056,2534.671,2195.786,2157.731,2596.614,2785.811,2908.378,3070.435,3220.429,3388.637,3217.584,4485.413,3775.178,3725.607,4155.475
Benin,4.799,4.859,4.94,4.88,4.88,4.88,4.88,4.88,4.76,4.76,5,5,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,,,,0.21,,0.21,0.21,0.21,0.21,0.388,0.471,0.719,0.719,2.632,0.897,0.897,0.897,0.897,0.897,0.897,0.897,2.471,0.897,2.853
Bermuda,2926.105,2924.909,732.881,710.787,1291.421,1307.26,1460.832,1759.709,3131.539,6874.182,7625,7800,5214.238,5493.736,5112.39,4566.799,4797.022,5208.272,7392.21,7753.484,10468.519,9398,8396,6812,6488.408,6776,8582.257,9361.476,9870.484,10298.435,10106.567,12117.853,11545.287,12368.239,10906.805,10944.402,10657.309,10932.697,10507.854,9534.213,7815.455,8052.383,7887.81,7043.296,6540.71
Bolivia (Plurinational State of),18.83,18.83,18.934,18.934,18.934,18.934,18.934,18.934,22.155,15.765,16,16,15.765,15.765,,,,,3.75,25.279,244.486,259,247,575,654.648,484,211.74,143.856,126.957,101.738,165.99,578.092,267.151,198.402,211.128,194.814,183.146,145.76,125.679,121.785,114.069,124.525,125.753,130.445,129.967
Bosnia and Herzegovina,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.389
Brazil,6656.923,7545.531,8530.902,9410.37,9624.845,9420.398,10039.581,10277.85,10437.858,10103.844,10063,10005,9721.826,9077.853,8806.669,8887.628,8543.292,7375.501,7121.79,6848.792,6383.57,6152,5959,5497,5139.348,4021,3449.617,3314.572,3296.392,3423.467,3406.756,3262.248,3406.865,3374.948,3719.052,3973.899,4369.504,4619.08,5180.333,5627.894,5634.662,5225.095,5199.399,5522.097,5698.434
British Virgin Islands,6.35,7.382,7.629,9.018,8.454,8.58,9.057,8.6,8.493,6.766,5,5,3.974,5.237,3.806,3.876,4.056,3.806,3.856,2.092,2.092,8,8,31,158.363,1,11.49,11.49,11.016,11.016,11.016,5.202,5.124,4.192,4.5,5.052,5.052,4.088,5.259,5.606,14.465,14.244,14.384,14.284,16.48
Brunei Darussalam,0.896,0.896,0.498,0.498,0.498,0.961,1.382,1.728,343.647,345.001,346,349,348.684,350.796,352.627,352.816,352.532,351.579,350.919,349.599,349.619,349,349,423,422.457,423,421.22,420.678,422.822,445.134,448.92,442.388,452.974,454.502,456.37,549.178,556.285,562.879,561.795,467.288,467.218,470.38,461.595,393.775,394.231
Bulgaria,1599.049,1742.958,1708.109,1785.019,1856.342,1840.794,1889.722,1989.051,2302.919,1984.308,1956,1954,1940.307,1954.004,1902.821,1841.869,1642.255,1639.142,1600.478,1556.635,1501.591,1445,1381,1292,1077.158,1151,1307.684,1248.497,1313.879,1243.29,696.768,803.199,630.631,334.655,127.011,152.108,118.82,125.596,110.462,153.306,152.32,137.635,133.377,114.416,111.633
Cabo Verde,11.896,18.834,17.428,17.428,20.905,21.728,22.092,22.092,22.092,25.864,26,30,30.921,30.921,32.987,32.32,21.477,18.571,26.689,25.62,24,24,20,21,20.615,22,22.081,22.918,22.021,21.707,23.496,27.808,26.198,26.136,26.628,30.662,33.032,37.891,40.195,41.652,42.291,44.175,44.694,40.378,39.485
Cambodia,3.779,3.779,3.839,3.839,3.839,3.839,4.356,3.839,3.839,3.839,4,4,,,,,,,,,,,,3481,,,,2699.081,2823.746,2785.231,2517.028,2817.761,2213.329,2212.893,2115.131,1880.776,1751.619,638.557,519.448,472.116,448.312,354.115,358.133,330.799,319.345
Cameroon,43.184,76.184,55.495,55.495,58.875,87.752,88.504,88.679,71.802,71.802,39,39,39.797,39.797,40.194,40.194,40.199,39.802,6.432,5.084,5.669,5.3,6,8,365.788,365,78.589,78.589,9.769,9.769,9.069,655.508,654.953,654.053,431.903,434.118,434.118,437.975,444.514,562.903,1076.329,2750.325,4984.698,7254.905,8050.476
Canada,900.786,1041.623,1036.873,1142.537,1229.742,1239.737,1133.063,1165.175,935.264,837.429,756,700,729.968,686.081,671.068,661.41,666.692,805.705,1005.285,1010.172,1018.437,1168,1309,1507,3123.625,3027,3054.015,3234.633,3168.794,3418.651,3401.12,3520.474,3408.495,3382.198,3508.766,3609.69,3231.884,3075.945,3507.171,3347.666,3501.496,3318.816,3276.459,3471.779,3424.027
Cayman Islands,341.439,373.236,398.853,461.607,483.76,510.455,582.28,2121.733,1050.639,664.26,566,570,637.697,485.12,529.665,537.954,487.694,1221.147,1248.433,1948.701,1756.222,2805,3148,4702,4437.036,4096,4387.392,4666.237,4357.939,4314.046,3960.649,3873.932,4102.689,4242.099,3820.534,4617.288,4627.675,5585.761,6120.72,6793.892,6881.5,6886.961,6415.795,6363.021,6095.763
Channel Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.211,0.211,0.211,0.211,0.198,0.198,0.198,0.198
Chile,831.82,972.015,878.964,768.624,745.899,731.511,701.776,907.538,824.869,912.717,870,883,885.196,818.775,872.566,984.939,1038.793,857.644,918.714,916.158,1011.995,881,915,1038,1128.514,1143,1073.997,1147.918,1087.712,1049.366,1095.802,908.464,939.208,806.477,896.884,977.421,994.357,1167.352,1340.371,1180.854,1103.075,1015.564,975.182,953.078,973.115
China,9509.087,10217.483,11542.908,12188.215,13075.306,13940.209,15918.02,17423.97,18484.23,19359.663,20200,20755,20427.689,20693.584,22452.007,23356.95,24933.608,24994.495,24084.762,24014.577,23701.202,23808,24048,25529,26824.531,29793,32773.903,34781.302,37123.525,39998.353,45157.339,56722.776,62735.428,72449.667,78782.451,78363.798,76782.61,79522.104,90608.94,99025.633,103321.482,110960.472,120534.315,127487.334,133647.042
"China‚ Hong Kong SAR",2240.327,2651.796,4068.79,5678.835,7248.268,9586.082,11332.555,13664.489,13470.976,12352.11,10337,11176,10849.411,12353.708,13091.086,13588.738,15257.215,13693.422,9526.233,10430.817,13190.911,17778,23207,27496,34466.582,43958,50443.434,54734.019,59209.936,64182.517,74513.464,89384.968,111681.857,131715.953,140988.684,150421.016,164146.99,173562.636,182513.891,198830.288,201422.37,205027.764,208083.478,200293.023,200378.245
"China‚ Macao SAR",,,,,,,,,,,,,,,,,,,,,,,,,,,,2.184,2.184,2.184,2.184,2.184,2.184,2.184,2.184,2.184,2.184,2.184,2.184,2.184,2.184,2.488,4.436,4.491,4.491
"China‚ Taiwan Province of",,,,,,,,,,,,,,,,9091.225,9253.137,9284.309,9007.541,8432.269,8248.081,7807.887,7001.669,6622.115,5512.679,5595.418,5056.415,4378.194,4307.629,4245.88,3944.054,3687.501,4040.084,4137.606,4554.499,5036.157,5220.922,4538.939,4723.183,5843.238,6779.761,7141.374,6714.118,6392.758,5990.547
Colombia,376.142,364.745,385.281,400.778,462.611,480.556,470.778,486.423,597.376,584.586,546,541,463.574,378.867,359.759,183.138,171.362,141.949,147.472,137.828,119.413,103,82,86,88.138,100,119.671,121.267,110.777,112.603,109.013,119.187,114.844,101.195,108.69,105.324,107.045,94.232,100.25,99.811,104.168,96.57,97.889,98.622,99.064
Comoros,0.487,1.824,0.435,1.793,1.793,1.793,2.194,2.194,2.814,1.456,3,3,3.579,2.959,2.959,2.959,2.959,3.498,2.138,1.703,1.039,31,92,240,598.824,564,810.833,1010.072,1045.03,978.358,1211.768,1864.761,964.416,932.786,798.373,921.36,1124.688,962.936,1302.787,1109.917,1879.644,1488.266,1505.955,1804.469,1892.956
Congo,10.833,10.833,10.84,10.84,10.84,10.84,10.84,10.84,10.84,10.84,11,11,10.84,10.892,11.221,11.01,15.11,4.431,4.76,0.66,0.66,,1,1,0.66,1,0.66,0.66,0.66,0.66,0.66,14.929,0.954,1.075,1.665,41.516,45.12,72.968,8.834,6.077,6.077,15.125,13.906,10.88,11.102
Cook Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,539.356,333.612,545.924,1852.033,2248.099,2804.72,2731.933,2581.209,2619.671,2321.657,2903.432,1771.524,1942.134,4927.215
Costa Rica,17.9,18.03,18.209,26.031,25.936,19.262,20.286,9.539,13.636,13.98,7,6,9.918,2.895,2.895,2.895,2.207,1.208,1.208,1.208,1.208,4,1,1,0.843,1,0.843,0.355,0.355,0.355,0.355,1.334,2.401,2.401,2.401,2.401,2.401,2.648,2.498,2.627,2.627,2.627,2.627,2.627,2.627
Côte d'Ivoire,226.894,234.966,195.563,194.145,195.263,173.679,175.325,151.496,149.337,149.337,100,100,98.618,100.306,141.817,76.399,41.894,8.683,7.433,5.866,5.866,5,5,5,5.083,5,5.141,5.141,16.653,5.141,5.141,10.572,10.572,10.572,10.572,10.572,10.572,10.641,3.138,3.138,3.138,3.138,3.138,3.138,154.138
Croatia,0,0,0,0,0,0,0,0,0,0,0,0,,225.175,196.89,269.081,372.828,747.981,1227.793,1272.183,1227.748,1036,1124,1317,1221.592,1522,1740.57,1793.407,2190.551,2343.704,2277.116,1977.677,2507.698,2266.721,2120.151,2109.661,2008.703,2141.213,2132.049,1978.321,1852.874,1796.901,1526.517,1534.879,1220.78
Cuba,1046.232,1097.223,1159.404,1206.9,1216.721,1230.077,1236.163,1274.167,1291.122,1218.841,1198,1115,941.096,863.656,801.781,542.991,490.159,332.8,233.756,184.316,156.263,80,92,124,110.03,176,82.166,82.166,77.112,76.953,49.389,57.971,26.334,26.334,23.313,28.568,28.568,30.356,29.317,35.005,254.557,449.904,572.5,572.859,572.859
