Name,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Total,672192.465,679754.771,686055.109,690098.1,681565.051,668145.098,654332.365,632237.783,625045.766,620734.24,629976,651282,674421.074,683639.046,699744.505,719216.174,731870.459,755297.943,772801.179,785331.072,793770.794,802771.487,822011.449,841734.985,863667.45,907474.288,965006.238,1042327.622,1117778.582,1192317.222,1276137.155,1418382.291,1537483.846,1634102.512,1694591.799,1753091.199,1811213.822,1868251.319,1937776.814,1989923.936,2073310.704,2138844.399,2206295.346,2277378.925,2353898.585
Bulk carriers,181880.282,184501.243,193217.208,204630.713,212915.21,218518.136,227550.78,226967.377,223659.13,222432.047,223619,230028,236143.08,234696.615,236843.255,250142.436,261168.634,271702.29,280055.18,274689.582,274445.412,280323.408,294779.972,296140.235,308935.209,325665.804,349720.569,366458.748,390225.608,417558.006,455642.213,546937.299,623457.479,689038.801,729959.178,762111.403,779119.682,795492.42,822842.557,846398.068,879745.29,913868.425,947317.701,974316.119,1004173.591
Container ships,10290.114,11060.523,12108.264,12809.767,14088.79,17266.77,18732.552,20180.653,21489.531,22295.221,22346,23611,27251.89,29844.257,32045.907,38923.35,43805.665,48732.522,56076.257,61154.933,63580.494,69124.018,77328.677,83281.35,91621.149,100226.403,112702.16,128270.111,144587.428,161862.962,168960.936,183677.659,196750.884,206308.45,216189.469,228060.521,244164.714,245299.102,253545.619,266105.732,275017.334,282222.611,294220.419,305774.111,329420.1
General cargo,112840.897,114832.851,113293.837,113269.092,111863.049,108308.363,103920.992,100221.979,97110.251,93795.681,100457,102109,102931.705,104193.343,106185.603,103502.83,103052.431,103556.122,102563.26,101757.05,101519.612,99895.172,95693.187,96457.007,94330.978,91827.046,96379.735,99052.333,103588.043,106996.104,105965.756,81581.325,78882.157,78793.156,75793.788,75179.644,75695.088,74828.41,75095.097,75784.398,77201.444,77920.481,79690.84,81886.548,83195.915
Oil tankers,337945.534,338666.313,334264.012,323673.145,304492.495,284950.819,258937.36,238144.528,234908.375,233608.542,235785,244818,255657.238,261081.516,269289.312,270942.439,266708.185,270899.061,271633.253,280276.91,283065.653,284864.321,286001.44,308683.1,320657.846,340748.411,356109.224,382117.493,406532.932,417242.078,448792.786,439925.706,454318.147,473628.106,481631.194,490782.932,505660.549,533788.072,562948.14,567789.755,601103.434,618166.174,629765.658,650661.536,663394.768
Other types of ships,29235.638,30693.841,33171.788,35715.383,38205.507,39101.01,45190.681,46723.246,47878.48,48602.749,47770,50716,52437.161,53823.315,55380.428,55705.119,57135.544,60407.948,62473.229,67452.597,71159.623,68564.568,68208.183,57173.283,48122.278,49006.644,52248.601,61743.131,67777.831,84041.244,91164.475,162318.966,179089.491,181601.982,186598.093,192400.62,202050.094,213983.292,220684.441,231115.518,236791.629,242235.689,249306.612,257733.008,266358.099
